# SAstep                 <H>               error
674           -0.223415             0.01886
675           -0.274397           0.0150903
676           -0.331717           0.0115023
677           -0.334223           0.0119531
678           -0.312032           0.0128766
679           -0.372727           0.0112324
680           -0.357129           0.0100515
681           -0.304031           0.0163787
682           -0.266152           0.0161714
683           -0.266845           0.0133861
684           -0.173545           0.0184051
685            -0.26871           0.0153429
686            -0.14515           0.0250926
687           -0.167056           0.0203525
688           -0.237373           0.0148802
689           -0.185319           0.0158106
690           -0.083236            0.022478
691            -0.15418           0.0235111
692            -0.25919           0.0208089
693           -0.237664           0.0143798
694           -0.315305           0.0109623
695           -0.353682          0.00879579
696            -0.31821           0.0121932
697           -0.282509           0.0137395
698           -0.306584           0.0110535
699           -0.317074           0.0115422
700           -0.321187          0.00779831
701           -0.343179           0.0123123
702           -0.327786           0.0146714
703           -0.321686           0.0109644
704           -0.267417           0.0214147
705            -0.25997           0.0170546
706           -0.167513           0.0284822
707           -0.181047           0.0175989
708           -0.300234           0.0140542
709           -0.338553          0.00884962
710           -0.417365          0.00803094
711           -0.393695          0.00750246
712           -0.395765          0.00827606
713           -0.381943          0.00940293
714            -0.34917            0.011202
715           -0.308158           0.0150916
716           -0.129913            0.023261
717            -0.13971           0.0198587
718          -0.0515956           0.0366308
719          -0.0394218           0.0243876
720          -0.0333725            0.027928
721             0.18455           0.0414891
722             0.14321            0.033473
723           0.0610562           0.0333704
724            0.182365           0.0295699
725            0.302004           0.0431622
726            0.246427           0.0370685
727            0.249965           0.0311612
728            0.130319           0.0306204
729            0.151305           0.0340755
730            0.118247            0.041071
731          -0.0848403           0.0294622
732           0.0273244           0.0309408
733           -0.124314            0.023484
734           -0.117191           0.0192337
735           -0.098083           0.0261623
736           -0.120772           0.0246374
737           -0.105301           0.0218028
738           -0.167554           0.0250083
739           -0.128572           0.0352085
740           -0.223889           0.0194057
741           -0.229549           0.0185228
742           -0.256352           0.0160173
743           -0.288067           0.0127613
744           -0.310974          0.00838622
745           -0.320474          0.00808147
746           -0.313236           0.0068351
747           -0.316612           0.0093787
748           -0.329068          0.00849732
749           -0.312286          0.00513199
750           -0.350191          0.00785784
751           -0.382266          0.00452815
752           -0.356431          0.00546671
753           -0.384823           0.0079613
754           -0.373578          0.00496316
755           -0.372491          0.00778548
756             -0.3566           0.0058805
757           -0.386525          0.00707518
758           -0.399921          0.00638203
759           -0.361413          0.00651524
760           -0.362579          0.00491779
761            -0.35144          0.00592742
762           -0.308875          0.00559594
763            -0.30617          0.00621395
764           -0.285088          0.00493899
765           -0.241945          0.00767524
766           -0.246339          0.00488472
767           -0.270399          0.00676552
768           -0.275842          0.00475157
769           -0.214436          0.00923197
770           -0.255396           0.0070606
771           -0.193348          0.00609794
772           -0.257364          0.00744649
773           -0.278294          0.00539123
774           -0.262067          0.00749444
775           -0.280694          0.00798988
776            -0.29074           0.0057608
777           -0.273432          0.00554129
778           -0.293572          0.00854714
779           -0.299124           0.0074885
780           -0.315917           0.0108949
781           -0.325222          0.00688084
782           -0.337616          0.00876742
783           -0.337156          0.00408727
784           -0.343697          0.00489397
785           -0.342336          0.00769575
786           -0.333361          0.00493348
787           -0.324819          0.00826543
788           -0.333756           0.0085559
789           -0.325002          0.00792626
790           -0.277539           0.0102756
791           -0.220128            0.016846
792           -0.274717           0.0122103
793               -0.24           0.0138397
794            -0.26246           0.0121276
795           -0.266627           0.0172512
796           -0.259489           0.0176567
797           -0.206545           0.0217052
798           -0.292251           0.0140361
799           -0.271316           0.0166675
