#mu               sigma
0.742595             0.90304
0.720476            0.880368
0.671308            0.909908
0.655344            0.894536
0.608402            0.856093
0.614733            0.826423
0.607726            0.801698
0.585857            0.774004
0.618729            0.801744
0.624447            0.785414
0.594368               0.764
0.642816            0.722241
0.679867            0.695467
0.661304            0.720013
0.708314            0.710431
0.693255            0.735473
0.706693            0.740167
0.660423            0.724296
0.687694            0.701778
0.717559            0.699312
0.69117            0.737453
0.64457            0.736993
0.613648            0.717274
0.572784            0.710437
0.572784            0.710437
0.536175            0.744361
0.497597            0.706755
0.514293            0.677816
0.542864            0.659673
0.555959            0.636084
0.512272            0.645196
0.550423             0.61619
0.50547            0.599236
0.530551            0.633155
0.539719             0.68267
0.499416            0.715101
0.525506             0.75963
0.559977            0.792837
0.510161            0.832163
0.539954            0.813912
0.578178            0.808847
0.598831            0.759271
0.620521            0.763664
0.630357            0.765616
0.593395            0.730097
0.636197            0.748623
0.617216            0.731317
0.610256            0.751544
0.632097             0.77042
0.666454            0.790751
0.628            0.789706
0.656104            0.839192
0.664998            0.882333
0.640971            0.882294
0.651151            0.884591
0.682135            0.848853
0.714746            0.872264
0.694565            0.836346
0.654792            0.881494
0.61799            0.851945
0.583683            0.893134
0.547964            0.884873
0.540327            0.897199
0.532407            0.876225
0.563751            0.851978
0.554983            0.888888
0.562741            0.935506
0.551141            0.965233
0.552412            0.935504
0.555591            0.913955
0.597351            0.911616
0.610578            0.931521
0.658043            0.957248
0.615724            0.958712
0.610619            0.969546
0.571577            0.942033
0.606719            0.902414
0.629896            0.899339
0.67966            0.937105
0.664573            0.968557
0.666315            0.935902
0.647984            0.970157
0.604157            0.995417
0.593367            0.956539
0.557246            0.923268
0.572245            0.933835
0.535056            0.921457
0.510606            0.929727
0.47011            0.977452
0.466932             1.01164
0.44604            0.986325
0.493334            0.982155
0.509031             0.98167
0.463751             1.01873
0.504981             1.01897
0.548628             1.04943
0.516336             1.02054
0.490212            0.974924
0.501497              1.0005
0.529311            0.997626
0.54037             1.02255
0.577595             1.01043
0.592923            0.972323
0.553918             1.01352
0.533983             1.03696
0.488068             1.06968
0.495796             1.05562
0.513503             1.05059
0.512284             1.00391
0.515965            0.993521
0.484132            0.964553
0.497575             0.94701
0.505715            0.908524
0.501804             0.93299
0.53374            0.911493
0.505005            0.906701
0.526908            0.905425
0.538461            0.906446
0.500324            0.865638
0.465287            0.905717
0.49854            0.918138
0.49854            0.918138
0.479885            0.965862
0.483277            0.942477
0.460168             0.96555
0.487037             0.91753
0.456577            0.964789
0.458281            0.922656
0.43482            0.925333
0.432971            0.904972
0.481117            0.908969
0.468541            0.902333
0.455245            0.881016
0.448708            0.875887
0.448897            0.844232
0.405875            0.849622
0.423415            0.813583
0.425864            0.828792
0.425648            0.823669
0.430259            0.871729
0.473621            0.868057
0.488248            0.913272
0.490987            0.924575
0.532276            0.934989
0.53669            0.954995
0.570705               0.974
0.535257            0.979616
0.520743            0.976565
0.488463            0.970986
0.484504            0.953985
0.473077            0.915765
0.470906            0.963837
0.471135             1.00359
0.45487             1.00346
0.499882            0.995618
0.532663            0.960073
0.527504            0.928401
0.546115            0.878594
0.529486            0.925435
0.48588            0.904047
0.465771            0.882975
0.440933            0.868656
0.478942            0.825642
0.500158            0.803974
0.523052            0.762922
0.558824            0.775475
0.568472            0.799987
0.535936            0.844137
0.567099            0.869284
0.534897             0.87471
0.549767            0.866485
0.581141            0.856141
0.542864            0.852117
0.564962            0.807273
0.575444            0.808485
0.596245            0.819868
0.577552             0.82688
0.586474             0.85722
0.579556            0.870789
0.563781            0.834597
0.602264            0.785824
0.555158            0.793719
0.568808            0.783131
0.546321            0.756904
0.516095            0.738485
0.504186            0.755597
0.52362            0.802422
0.547547            0.785132
0.543527            0.804946
0.566638            0.830091
0.541143            0.875412
0.551081            0.876205
0.525933            0.920376
0.518472            0.910034
0.549144            0.885883
0.524058            0.884509
0.498445            0.849688
0.54561            0.824957
0.552861            0.783135
0.582524            0.742341
0.62102            0.785645
0.647605            0.745042
0.643013            0.763873
0.67361            0.737513
0.70544            0.772092
0.70414            0.784472
0.750963            0.759934
0.772685            0.772271
0.800165            0.746778
0.821926            0.712771
0.867342            0.749167
0.91283            0.723547
0.955177            0.699441
0.914512            0.656329
0.912358            0.668263
0.950148            0.620363
0.929243            0.610865
0.945265            0.575838
0.981864            0.532479
0.981864            0.532479
0.960485               0.571
0.974753             0.54561
0.987136            0.509234
0.975931            0.506459
0.999971            0.530825
1.04208            0.554412
1.0394            0.568025
1.02318            0.553376
1.05031            0.569465
1.03798            0.604159
1.03683            0.576882
1.00203            0.613842
1.04314            0.619493
1.02991            0.590277
0.982265              0.6305
1.0211            0.599637
1.03022            0.628072
1.00088            0.677099
1.00963            0.683971
0.972612            0.698571
0.986918            0.694473
0.953483            0.680153
0.989959            0.688984
0.988206             0.71324
1.03242             0.69472
1.03779            0.715052
1.04792            0.739715
1.07306            0.785693
1.06347            0.834955
1.06104            0.806546
1.03667            0.799538
1.02701            0.847272
1.04283            0.798268
1.00952            0.760054
1.00373            0.719833
0.963267            0.763137
0.984984            0.765227
0.9938            0.785731
0.95435            0.793913
0.958309            0.806692
0.913539            0.855456
0.899289            0.892971
0.891912            0.851335
0.902693             0.88676
0.944292            0.908469
0.982158            0.919964
0.961008            0.883093
0.934518            0.886541
0.941771            0.852846
0.898886            0.822273
0.921963            0.818688
0.910156             0.78534
0.920845            0.769685
0.961719            0.793205
0.929314            0.781078
0.892454            0.746765
0.86657            0.773714
0.903297            0.726916
0.875652            0.686275
0.84181             0.73348
0.867584            0.779193
0.835256            0.736976
0.794592            0.762167
0.750082            0.807171
0.714736             0.80004
0.686033            0.755266
0.666011             0.79066
0.672511            0.800207
0.640246            0.751141
0.629673            0.719566
0.610044             0.71848
0.56055             0.76714
0.526649            0.777902
0.493405            0.745789
0.490654            0.795511
0.494922             0.80257
0.480971            0.825378
0.464336            0.834558
0.460676            0.798652
0.464962            0.755697
0.470508            0.727872
0.461762            0.680015
0.431675            0.668544
0.381968            0.682527
0.348967            0.712501
0.396582            0.749026
0.398195            0.735586
0.420413            0.750812
0.392585            0.762032
0.440465            0.788193
0.467949             0.81671
0.500525            0.848432
0.48137            0.873855
0.529415            0.914896
0.479751            0.944231
0.479751            0.944231
0.447857            0.940096
0.492921            0.893347
0.444562            0.899364
0.395423            0.917017
0.392799            0.953928
0.390831            0.932111
0.365946             0.95084
0.338639            0.940267
0.377652            0.987665
