#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
          10     -0.3184   -0.321896  0.00109825
          11    -0.31844   -0.321582  0.00104238
          12    -0.32128   -0.321557 0.000955818
          13    -0.31936   -0.321388 0.000897105
          14    -0.32236   -0.321457  0.00083571
          15    -0.32444   -0.321656 0.000803307
          16    -0.31472   -0.321223  0.00086217
          17     -0.3224   -0.321292 0.000814232
          18    -0.32596   -0.321551 0.000809246
          19    -0.32216   -0.321583 0.000767289
          20    -0.32024   -0.321516 0.000731857
