#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
                  12             0.04044           0.0266233          0.00337289
                  13              0.0279           0.0267215          0.00311487
                  14             0.03006             0.02696          0.00290149
                  15             0.00378           0.0254147          0.00309232
                  16             0.02612           0.0254587          0.00289936
                  17             0.03138           0.0258071          0.00274966
                  18              0.0357           0.0263567          0.00265126
                  19             0.03026           0.0265621          0.00251966
                  20              0.0335            0.026909          0.00241744
# Temperatura= 2.3
                   1             0.03966             0.03966                   0
                   2             0.02646             0.03306           0.0046669
                   3             0.03104           0.0323867          0.00315947
                   4             0.03378            0.032735          0.00238873
                   5            -0.00868            0.024452          0.00765103
                   6             0.03886           0.0268533          0.00674218
                   7             0.03684             0.02828          0.00592803
                   8              0.0067           0.0255825          0.00576821
                   9             0.01302           0.0241867          0.00529349
                  10             -0.0041            0.021358          0.00546793
                  11             0.01666           0.0209309           0.0049875
                  12             0.02422            0.021205           0.0045794
                  13             0.01184           0.0204846          0.00428342
                  14            -0.00206           0.0188743          0.00426944
                  15              0.0111            0.018356          0.00401615
                  16             0.02118           0.0185325          0.00376902
                  17             0.00316           0.0176282          0.00365418
                  18             0.02462           0.0180167          0.00347175
                  19             0.02014           0.0181284          0.00329082
                  20             0.03402            0.018923          0.00322078
# Temperatura= 2.4
                   1             0.00436             0.00436                   0
                   2              0.0125             0.00843          0.00287792
                   3            -0.00624             0.00354          0.00442973
                   4             0.02548            0.009025          0.00579669
                   5             0.01814            0.010848          0.00491566
                   6             0.03454           0.0147967          0.00545652
                   7             0.00724           0.0137171          0.00478261
                   8              0.0225            0.014815          0.00430895
                   9             0.00736           0.0139867          0.00390899
                  10             0.04136            0.016724          0.00437272
                  11             0.02204           0.0172073          0.00400181
                  12             0.01054           0.0166517           0.0037067
                  13             0.03796           0.0182908          0.00376658
                  14              0.0242           0.0187129          0.00352111
                  15             -0.0137            0.016552          0.00389336
                  16             0.02522           0.0170937          0.00368752
                  17             0.01426           0.0169271          0.00347437
                  18             0.02028           0.0171133          0.00328634
                  19              0.0019           0.0163126          0.00320944
                  20              0.0085            0.015922          0.00307265
# Temperatura= 2.5
                   1             0.01432             0.01432                   0
                   2              0.0187             0.01651          0.00154856
                   3             0.01994           0.0176533          0.00139186
                   4             0.03734            0.022575          0.00438826
                   5             0.00858            0.019776          0.00431183
                   6             0.03344           0.0220533          0.00415125
                   7             0.02216           0.0220686          0.00355825
                   8             0.02634           0.0226025          0.00315327
                   9             0.01686           0.0219644          0.00286673
                  10             0.00368            0.020136          0.00310895
                  11             -0.0077           0.0176055          0.00371613
                  12            -0.00464           0.0157517           0.0038411
                  13             0.02426           0.0164062          0.00360096
                  14             0.01962           0.0166357          0.00335106
                  15             0.01454            0.016496          0.00313056
                  16              0.0112            0.016165          0.00295235
                  17             0.00404           0.0154518          0.00286354
                  18             0.01774           0.0155789          0.00270727
                  19             0.01714           0.0156611          0.00256603
                  20             0.02204             0.01598          0.00245747
# Temperatura= 2.6
                   1             0.01516             0.01516                   0
                   2             0.00954             0.01235          0.00198697
                   3             0.00606           0.0102533          0.00216457
                   4              0.0105            0.010315          0.00162431
                   5             0.01672            0.011596          0.00173243
                   6             0.02636           0.0140567           0.0026702
                   7             0.03136           0.0165286          0.00323663
                   8             0.02552           0.0176525           0.0030209
                   9             0.00722           0.0164933          0.00289912
                  10             0.02226             0.01707          0.00266594
                  11              0.0271           0.0179818           0.0025748
                  12             0.01152           0.0174433          0.00241589
                  13             0.01442           0.0172108          0.00224121
                  14              0.0049           0.0163314          0.00224702
                  15             0.01238            0.016068           0.0021126
                  16             0.03674             0.01736          0.00234256
                  17             0.03454           0.0183706          0.00241292
                  18             0.01264           0.0180522          0.00229978
                  19            -0.00488           0.0168453          0.00247527
                  20             0.01164            0.016585          0.00236515
# Temperatura= 2.7
                   1             0.02566             0.02566                   0
                   2             0.02774              0.0267         0.000735391
                   3             0.03338           0.0289267          0.00188301
                   4              0.0277             0.02862          0.00143701
                   5             0.01026            0.024948          0.00347972
                   6             0.02816           0.0254833          0.00294066
                   7             0.00968           0.0232257          0.00327444
                   8             0.01364           0.0220275          0.00307657
                   9             0.01544           0.0212956          0.00282045
                  10              0.0212            0.021286          0.00253842
                  11               0.025           0.0216236             0.00233
                  12             0.01764           0.0212917          0.00215935
                  13             0.00828           0.0202908          0.00221309
                  14             0.01346           0.0198029          0.00210811
                  15             0.02506           0.0201533          0.00199649
                  16              0.0228           0.0203187          0.00187855
                  17             0.03698           0.0212988           0.0020075
                  18             0.02056           0.0212578          0.00189639
                  19              0.0008           0.0201811          0.00207991
                  20              0.0104            0.019692          0.00203259
# Temperatura= 2.8
                   1             0.01814             0.01814                   0
                   2             0.03848             0.02831          0.00719128
                   3             0.02408              0.0269          0.00493048
                   4             0.02886             0.02739          0.00372213
                   5             0.03094              0.0281          0.00304466
                   6              0.0165           0.0261667          0.00309068
                   7             0.01688             0.02484          0.00292004
                   8             0.02386           0.0247175           0.0025576
                   9              0.0109           0.0231822          0.00269511
                  10             0.02128            0.022992          0.00243231
                  11             0.02298           0.0229909          0.00221119
                  12              0.0202           0.0227583          0.00203912
                  13             0.02416           0.0228662          0.00188511
                  14             0.01748           0.0224814          0.00178929
                  15             0.01566           0.0220267          0.00172683
                  16             0.01672            0.021695          0.00165044
                  17             -0.0082           0.0199365          0.00230726
                  18            -0.01154           0.0181878          0.00276341
                  19             0.01394           0.0179642          0.00262699
                  20             0.03302            0.018717          0.00260127
# Temperatura= 2.9
                   1             0.01688             0.01688                   0
                   2             0.02172              0.0193           0.0017112
                   3             0.01836           0.0189867          0.00116913
                   4             0.01042            0.016845          0.00205156
                   5             0.00608            0.014692          0.00253022
                   6             0.00856             0.01367           0.0023057
                   7             -0.0052           0.0109743          0.00318348
                   8             0.02306            0.012485           0.0031235
                   9            -0.00342           0.0107178          0.00323801
                  10             0.00794             0.01044           0.0029261
                  11              0.0055          0.00999091          0.00269433
                  12            -0.00754             0.00853          0.00283837
                  13              0.0178          0.00924308          0.00270812
                  14             0.00552          0.00897714          0.00252771
                  15             0.01852          0.00961333          0.00243794
                  16             0.00422          0.00927625          0.00230876
                  17             0.00998          0.00931765          0.00217332
                  18             0.01886          0.00984778          0.00211625
                  19             0.01758           0.0102547          0.00204362
                  20            -0.00378            0.009553           0.0020584
# Temperatura= 3
                   1            -0.00436            -0.00436                   0
                   2             0.01462             0.00513          0.00671044
                   3             0.00988          0.00671333          0.00465668
                   4            -0.01152            0.002155          0.00527081
                   5             0.00418             0.00256          0.00423218
                   6             0.02872             0.00692          0.00531787
                   7             0.02386             0.00934          0.00507905
                   8             0.01656           0.0102425          0.00452364
                   9             0.01546           0.0108222          0.00405799
                  10             0.02068            0.011808          0.00377002
                  11             0.01376           0.0119855          0.00343147
                  12              0.0202             0.01267          0.00321307
                  13            -0.00546           0.0112754          0.00325453
                  14             0.03292           0.0128214          0.00336933
                  15             0.01308           0.0128387          0.00314475
                  16            -0.00126           0.0119575          0.00306917
                  17             0.01408           0.0120824          0.00289117
                  18             0.01188           0.0120711          0.00273057
                  19              0.0281           0.0129147          0.00271405
                  20             0.01868            0.013203          0.00259361
