#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
          19      -0.338   -0.343368 0.000788952
          20    -0.33476   -0.342938 0.000858927
# Temperatura= 2.9
           1    -0.33784    -0.33784           0
           2    -0.33356     -0.3357  0.00151321
           3    -0.33088   -0.334093  0.00165487
           4    -0.32808    -0.33259  0.00179874
           5    -0.32572   -0.331216  0.00189235
           6     -0.3368   -0.332147  0.00179125
           7    -0.33788   -0.332966  0.00171241
           8     -0.3342    -0.33312  0.00150529
           9    -0.33084   -0.332867  0.00135919
          10    -0.33312   -0.332892   0.0012235
          11     -0.3272   -0.332375  0.00121679
          12      -0.331    -0.33226  0.00112077
          13    -0.33092   -0.332157  0.00103928
          14     -0.3336    -0.33226 0.000970148
          15     -0.3356   -0.332483 0.000930674
          16    -0.33436     -0.3326 0.000879872
          17     -0.3314   -0.332529 0.000830942
          18    -0.33192   -0.332496 0.000785468
          19    -0.32976   -0.332352 0.000757208
          20    -0.32244   -0.331856 0.000866475
# Temperatura= 3
           1     -0.3138     -0.3138           0
           2      -0.315     -0.3144 0.000424264
           3    -0.32108   -0.316627  0.00183994
           4    -0.31784    -0.31693  0.00140473
           5    -0.31932   -0.317408  0.00120237
           6     -0.3204   -0.317907  0.00110053
           7      -0.325    -0.31892  0.00133041
           8    -0.32532    -0.31972  0.00138389
           9    -0.32008    -0.31976   0.0012307
          10    -0.32048   -0.319832  0.00110974
          11    -0.31932   -0.319785  0.00100983
          12    -0.31852    -0.31968 0.000931164
          13    -0.31968    -0.31968 0.000859536
          14     -0.3236    -0.31996 0.000842513
          15     -0.3228   -0.320149 0.000807339
          16    -0.31648    -0.31992 0.000788781
          17     -0.3192   -0.319878 0.000743518
          18    -0.32264   -0.320031 0.000717874
          19     -0.3216   -0.320114 0.000684824
          20    -0.32692   -0.320454 0.000730262
