#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
           9     0.03862   0.0259822   0.0026311
          10     0.03426     0.02681  0.00249481
          11     0.01898   0.0260982  0.00236738
          12     0.01482   0.0251583  0.00234926
          13     0.03398   0.0258369  0.00226443
          14     0.00938   0.0246614  0.00238839
          15     0.03132   0.0251053  0.00227004
          16     0.02048   0.0248162  0.00214649
          17      0.0126   0.0240976  0.00213713
          18     0.00822   0.0232156   0.0021929
          19     0.01082   0.0225632  0.00217236
          20     0.01776    0.022323  0.00207697
# Temperatura= 2.5
           1     0.01442     0.01442           0
           2     0.01114     0.01278  0.00115966
           3     0.02012   0.0152267  0.00214207
           4     0.01412     0.01495  0.00162432
           5     0.01094    0.014148   0.0014843
           6      0.0098   0.0134233  0.00140271
           7     0.02494   0.0150686  0.00194054
           8     0.01964     0.01564  0.00178012
           9     0.01678   0.0157667  0.00158683
          10     0.01976    0.016166  0.00147754
          11     0.02232   0.0167255  0.00144526
          12     0.04266   0.0188867  0.00245698
          13     0.01898   0.0188938  0.00226799
          14     0.02126   0.0190629  0.00211228
          15     0.02902   0.0197267  0.00207314
          16     0.01296   0.0193037  0.00198624
          17    -0.00442   0.0179082  0.00230815
          18     0.02916   0.0185333  0.00226299
          19     0.02178   0.0187042  0.00215032
          20    -0.00162    0.017688  0.00227027
# Temperatura= 2.6
           1     0.01384     0.01384           0
           2     0.02492     0.01938  0.00391737
           3     0.01822   0.0189933  0.00263059
           4     0.00646     0.01586  0.00335497
           5       0.039    0.020488   0.0049334
           6     0.01208   0.0190867  0.00430559
           7     0.02514   0.0199514  0.00377635
           8     0.03096   0.0213275  0.00354617
           9     0.02366   0.0215867  0.00316161
          10     0.02634    0.022062  0.00288096
          11     0.00256   0.0202891  0.00311719
          12     0.01788   0.0200883  0.00286389
          13      0.0335     0.02112   0.0028233
          14     0.01692     0.02082  0.00263753
          15    -0.00248   0.0192667  0.00288304
          16     0.00752   0.0185325  0.00279476
          17       0.012   0.0181482  0.00265665
          18      0.0278   0.0186844   0.0025626
          19     0.01586   0.0185358  0.00243204
          20     0.01478    0.018348  0.00231767
# Temperatura= 2.7
           1     0.01206     0.01206           0
           2      0.0239     0.01798  0.00418607
           3     0.01714      0.0177  0.00280006
           4     0.01324    0.016585  0.00231141
           5     0.00886     0.01504  0.00230844
           6     0.01786     0.01551  0.00197097
           7     0.01762   0.0158114  0.00171229
           8     0.03354   0.0180275  0.00255771
           9     0.01032   0.0171711  0.00241263
          10     0.01862    0.017316  0.00217572
