#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
# Temperatura= 0.5
           6    0.111997     0.11257 0.000127907
           7    0.112552    0.112567 0.000109661
           8    0.112657    0.112579 9.65184e-05
           9     0.11239    0.112558 8.80288e-05
          10    0.112175    0.112519 8.71442e-05
          11     0.11238    0.112507 8.01399e-05
          12    0.112239    0.112484 7.65089e-05
          13    0.111926    0.112441 8.17942e-05
          14    0.112823    0.112469 8.03758e-05
          15    0.112475    0.112469 7.50184e-05
          16    0.112848    0.112493 7.39684e-05
          17    0.112632    0.112501 7.00703e-05
          18    0.112214    0.112485 6.79671e-05
          19    0.112979    0.112511 6.91859e-05
          20    0.113257    0.112548 7.51137e-05
# Temperatura= 2.9
           1    0.105335    0.105335           0
           2    0.105676    0.105505 0.000120805
           3    0.105888    0.105633 0.000131636
           4    0.106107    0.105752 0.000142473
           5    0.106291    0.105859 0.000149326
           6    0.105418    0.105786 0.000141404
           7    0.105331    0.105721 0.000135291
           8    0.105625    0.105709 0.000118905
           9    0.105891    0.105729 0.000107402
          10    0.105711    0.105727 9.66769e-05
          11    0.106176    0.105768 9.61034e-05
          12    0.105879    0.105777 8.85337e-05
          13    0.105885    0.105786 8.21084e-05
          14    0.105673    0.105778 7.66362e-05
          15    0.105514     0.10576 7.35155e-05
          16    0.105613    0.105751 6.94949e-05
          17    0.105847    0.105757  6.5637e-05
          18    0.105806    0.105759 6.20482e-05
          19    0.105976    0.105771 5.98219e-05
          20    0.106544    0.105809 6.81826e-05
# Temperatura= 3
           1     0.10017     0.10017           0
           2    0.100086    0.100128 2.96419e-05
           3   0.0996564   0.0999708 0.000129873
           4   0.0998864   0.0999497 9.91042e-05
           5   0.0997816   0.0999161 8.47933e-05
           6   0.0997049   0.0998809 7.76263e-05
           7    0.099375   0.0998086 9.43616e-05
           8   0.0993519   0.0997515 9.83333e-05
           9   0.0997276   0.0997489 8.74432e-05
          10   0.0996992   0.0997439   7.884e-05
          11   0.0997816   0.0997473 7.17473e-05
          12   0.0998383   0.0997549 6.61679e-05
          13   0.0997561    0.099755 6.10781e-05
          14   0.0994759   0.0997351 5.98809e-05
          15   0.0995334   0.0997216 5.73791e-05
          16   0.0999823   0.0997379 5.60576e-05
          17   0.0997902    0.099741 5.28443e-05
          18   0.0995448   0.0997301 5.10198e-05
          19   0.0996193   0.0997243 4.86668e-05
          20   0.0992359   0.0996998 5.19991e-05
