# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
     1.03709    0.418175      0.4198    0.014943
     1.22565    0.450044    0.464101    0.016766
     1.41421    0.500573    0.464822   0.0159712
     1.60278     0.56323    0.468007   0.0188122
     1.79134    0.522498      0.4602   0.0100798
      1.9799    0.469882     0.39981   0.0145815
     2.16846    0.383041    0.337436   0.0145705
     2.35702    0.318886    0.299811   0.0146063
     2.54558    0.336588    0.235867   0.0264555
     2.73415    0.242896    0.192229   0.0100604
     2.92271    0.222051    0.161958   0.0135776
     3.11127   0.0977673       0.125   0.0161489
     3.29983   0.0649654   0.0854889  0.00678315
     3.48839    0.111541     0.06474  0.00822007
     3.67696   0.0391855   0.0544771  0.00657807
     3.86552   0.0283825   0.0506537  0.00633253
     4.05408   0.0233002   0.0501961  0.00996689
     4.24264   0.0214342   0.0294472  0.00481279
      4.4312  0.00888794   0.0212936  0.00514407
     4.61976  0.00147314   0.0234452  0.00508474
     4.80833           0   0.0160394  0.00674634
     4.99689           0   0.0349737   0.0139358
     5.18545           0  0.00560239  0.00177237
     5.37401           0   0.0123074  0.00501673
     5.56257           0   0.0172938  0.00609032
#blocco numero 12
   0.0942809 0.000441942  0.00557951  0.00135873
    0.282843   0.0196419   0.0473369  0.00737096
    0.471405   0.0590729    0.138512   0.0276139
    0.659966    0.113702    0.223569   0.0188671
    0.848528    0.288981    0.316576   0.0145184
     1.03709    0.409115     0.41891   0.0137242
     1.22565    0.417267    0.460198   0.0158166
     1.41421    0.489033     0.46684   0.0147671
     1.60278    0.550046    0.474844   0.0184449
     1.79134    0.392125    0.454527   0.0107179
      1.9799    0.441647    0.403296   0.0137768
     2.16846    0.455544    0.347278   0.0163459
     2.35702    0.493772    0.315974   0.0204635
     2.54558    0.330548    0.243757   0.0254002
     2.73415    0.184412    0.191578  0.00924312
     2.92271    0.195338     0.16474   0.0127279
     3.11127    0.161211    0.128018   0.0150824
     3.29983    0.131993   0.0893643  0.00724079
     3.48839   0.0558074   0.0639956  0.00756869
     3.67696    0.034005   0.0527711  0.00624721
     3.86552   0.0373195   0.0495425   0.0059015
     4.05408   0.0206239   0.0477318  0.00943606
     4.24264  0.00908436   0.0277503  0.00470136
      4.4312   0.0115396   0.0204807  0.00477918
     4.61976   0.0010312   0.0215774   0.0049923
     4.80833           0   0.0147027  0.00631516
     4.99689           0   0.0320592   0.0130757
     5.18545           0  0.00513553  0.00168504
     5.37401           0   0.0112818  0.00470234
     5.56257           0   0.0158526  0.00575077
#blocco numero 13
   0.0942809  0.00603987  0.00561493  0.00125467
    0.282843    0.046011   0.0472349  0.00680467
    0.471405     0.14012    0.138636     0.02549
    0.659966    0.147388    0.217709   0.0183033
    0.848528    0.225513    0.309571   0.0149965
     1.03709    0.384833    0.416288   0.0129164
     1.22565    0.457459    0.459988   0.0146014
     1.41421    0.516532    0.470662   0.0141173
     1.60278    0.506686    0.477293    0.017188
     1.79134    0.486971    0.457023   0.0101799
      1.9799    0.443366    0.406379   0.0130573
     2.16846    0.360281    0.348278   0.0151191
     2.35702    0.390873    0.321735   0.0196837
     2.54558    0.401946    0.255926   0.0261994
     2.73415    0.289054    0.199076   0.0111667
     2.92271    0.141741    0.162971   0.0118712
     3.11127    0.144613    0.129294   0.0139761
     3.29983   0.0849265   0.0890229  0.00669185
     3.48839   0.0197401   0.0605913  0.00771418
     3.67696   0.0109994   0.0495579  0.00654101
     3.86552  0.00942809   0.0464568  0.00620201
     4.05408   0.0270321   0.0461395  0.00884353
     4.24264  0.00989458   0.0263767  0.00453592
      4.4312   0.0248469   0.0208166  0.00442334
     4.61976   0.0215324   0.0215739  0.00460828
     4.80833  0.00483681   0.0139438   0.0058748
     4.99689  0.00063836   0.0296422   0.0122912
     5.18545           0  0.00474049  0.00160106
     5.37401           0    0.010414  0.00441998
     5.56257           0   0.0146332  0.00543616
#blocco numero 14
   0.0942809   0.0079304  0.00578032   0.0011759
    0.282843   0.0123744   0.0447448  0.00675887
    0.471405    0.096687    0.135639   0.0238447
    0.659966    0.104691    0.209636   0.0186916
    0.848528     0.29313    0.308396   0.0139712
     1.03709    0.390627    0.414455   0.0121232
     1.22565    0.480071    0.461422   0.0136287
     1.41421    0.475235    0.470989   0.0131127
     1.60278    0.584026    0.484917   0.0175699
     1.79134    0.504108    0.460386  0.00999291
      1.9799    0.399859    0.405913    0.012133
     2.16846    0.491636    0.358518   0.0171599
     2.35702    0.416972    0.328538   0.0194177
     2.54558    0.246702    0.255267   0.0243363
     2.73415    0.258757    0.203339   0.0111531
     2.92271    0.129145    0.160555   0.0112664
     3.11127    0.201992    0.134487   0.0139091
     3.29983   0.0944037   0.0894073  0.00622489
     3.48839   0.0188316   0.0576085  0.00771834
     3.67696  0.00260255    0.046204  0.00688015
     3.86552  0.00031918   0.0431612  0.00657655
     4.05408   0.0344469   0.0453043   0.0082512
     4.24264   0.0130127   0.0254222   0.0043112
