# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
blocco numero 1
     3.56595           0 0.000269944 0.000147215
     3.70579           0 0.000160438 0.000105607
     3.84563           0 0.000106959 0.000102763
     3.98547           0 7.63992e-06  7.3402e-06
     4.12531           0 1.01866e-05 9.78694e-06
blocco numero 14
   0.0699206  0.00946841  0.00969779 0.000589512
    0.209762   0.0729002   0.0750828  0.00134161
    0.349603    0.220256    0.201076  0.00357772
    0.489444      0.3987    0.360909  0.00506442
    0.629285     0.54599     0.52243  0.00599951
    0.769126    0.634053    0.650414  0.00613194
    0.908968    0.722115    0.747045  0.00478689
     1.04881    0.790116    0.780368  0.00757728
     1.18865    0.759923    0.760606  0.00741606
     1.32849    0.679077    0.707641  0.00745149
     1.46833    0.616374    0.603782  0.00612657
     1.60817    0.485802    0.501317   0.0053615
     1.74801     0.35106    0.388517  0.00568488
     1.88786    0.290177    0.293677  0.00590375
      2.0277    0.211119    0.204479  0.00426105
     2.16754     0.13375    0.137916  0.00314038
     2.30738   0.0969685   0.0879139  0.00234236
     2.44722   0.0558173   0.0511682  0.00149571
     2.58706   0.0373771   0.0300322  0.00195836
      2.7269   0.0212543   0.0176149  0.00133965
     2.86674  0.00830969  0.00956064 0.000951578
     3.00659  0.00387344  0.00499906 0.000731786
     3.14643  0.00119183  0.00233873 0.000377553
     3.28627  0.00195327  0.00129824 0.000428484
     3.42611 0.000827658  0.00026958 0.000120711
     3.56595 0.000297957 0.000271945 0.000136713
     3.70579 0.000331063 0.000172626 9.87645e-05
     3.84563 0.000331063 0.000122966 9.66613e-05
     3.98547 0.000529701   4.493e-05 3.65744e-05
     4.12531   0.0010263 8.27658e-05 7.05271e-05
blocco numero 15
   0.0699206  0.00748203  0.00955008 0.000568418
    0.209762   0.0786276   0.0753191  0.00127281
    0.349603     0.20132    0.201092  0.00333924
    0.489444    0.359038    0.360784  0.00472833
    0.629285    0.481797    0.519721  0.00618092
    0.769126    0.613262    0.647937  0.00620323
    0.908968    0.747276     0.74706  0.00446779
     1.04881    0.802928    0.781872  0.00721985
     1.18865    0.809119    0.763841   0.0075942
     1.32849    0.743602    0.710038  0.00733024
     1.46833     0.61697    0.604661  0.00578087
     1.60817    0.466402     0.49899  0.00548613
     1.74801    0.376088    0.387688  0.00536593
     1.88786    0.290144    0.293441  0.00551486
      2.0277    0.210225    0.204862  0.00399416
     2.16754    0.152984    0.138921  0.00308751
     2.30738   0.0896189   0.0880276  0.00218896
     2.44722   0.0498913   0.0510831  0.00139842
     2.58706   0.0268161   0.0298178   0.0018395
      2.7269   0.0115872   0.0172131  0.00130922
     2.86674  0.00635642  0.00934702 0.000911801
     3.00659  0.00648884  0.00509838 0.000689707
     3.14643  0.00165532  0.00229317 0.000355122
     3.28627 0.000463489  0.00124259 0.000403516
     3.42611 0.000827658 0.000306785 0.000118258
     3.56595           0 0.000253815 0.000128795
     3.70579           0 0.000161118 9.28483e-05
     3.84563           0 0.000114769 9.05642e-05
     3.98547           0 4.19347e-05 3.42585e-05
     4.12531           0 7.72481e-05 6.60408e-05
blocco numero 16
   0.0699206   0.0120838  0.00970843 0.000554512
    0.209762   0.0802829   0.0756294  0.00123049
    0.349603    0.242669    0.203691  0.00401632
    0.489444     0.40254    0.363394  0.00510244
    0.629285    0.564231    0.522503  0.00639005
    0.769126    0.637132    0.647262  0.00585218
    0.908968    0.696723    0.743914   0.0051791
     1.04881    0.808589    0.783542  0.00695902
     1.18865    0.758135    0.763484  0.00712793
     1.32849    0.670569    0.707571  0.00727535
     1.46833    0.563635    0.602097  0.00596116
     1.60817    0.489477    0.498395  0.00517536
     1.74801    0.364004    0.386208  0.00523075
     1.88786    0.265678    0.291706  0.00543631
      2.0277    0.212841    0.205361  0.00377553
     2.16754    0.144311    0.139258  0.00291286
     2.30738    0.100246   0.0887912  0.00218129
     2.44722   0.0590948   0.0515838   0.0013978
     2.58706    0.033305   0.0300357   0.0017374
      2.7269   0.0276107   0.0178629  0.00137928
     2.86674  0.00645574  0.00916632 0.000872537
     3.00659  0.00460178  0.00506734 0.000647299
     3.14643  0.00264851  0.00231537  0.00033362
     3.28627   0.0015891  0.00126425 0.000378877
